SAMPLE_ID,SMILES,mean_pAC50,Class
NCGC00343768-05,Brc1c(C)cc(OC[C@H]2OCCNC2)c(NC(=O)Nc2ncc(C)nc2)c1,4.9000001,1
NCGC00386831-01,Brc1c(Cl)cc(NC(=O)c2ccc(C(C)(C)C)cc2)c(C(=O)O)c1,4.9000001,1
NCGC00263232-01,Brc1c(N(C)C)ccc(C2Nc3c(c4c(cc3)cccc4)C3=C2C(=O)CC(C)(C)C3)c1,4.9499998,1
NCGC00246387-06&NCGC00246387-08,Brc1c(O)c(CN(C)C)c2c(C(=O)OCC)c(CSc3ccccc3)n(C)c2c1,4.96249985,1
NCGC00263100-02,Brc1cc(F)c(COc2c(C(=O)N)c(NC(=O)NCCCCN3CCCC3)sn2)c(F)c1,4.9000001,1
NCGC00408808-01,Brc1cc2c(n(C[C@H](O)CNc3cc(OC)ccc3)c3c2cc(Br)cc3)cc1,4.9000001,1
NCGC00162073-12,Brc1ccc(/C=C/CNCCNS(=O)(=O)c2c3c(cncc3)ccc2)cc1,4.9250002,1
NCGC00386857-03,Brc1ccc(C(=O)N[C@H](CN2CCC3(N(c4cc(F)ccc4)CNC3=O)CC2)C)cc1,4.9000001,1
NCGC00249891-01,Brc1ccc(C(OCCN(C)C)c2ccccc2)cc1,4.9000001,1
NCGC00386703-01,Brc1ccc(Cc2nc([C@H](NS(=O)(=O)CCCN(CC)CC)CCc3ccccc3)on2)cc1,4.9499998,1
NCGC00402235-03,Brc1ccc(NC(=O)CCN2C[C@H](C)C[C@H](C)C2)cc1,4.9000001,1
NCGC00273481-01,C(C1c2c(Sc3c1cccc3)cccc2)C1CN(C)CCC1,4.9499998,1
NCGC00509991-01,C(CC1CCNCC1)c1c2c(nc(-c3ccccc3)c1)cccc2,4.9000001,1
NCGC00014482-03,C(N1c2c(Sc3c1cccc3)cccc2)[C@@H]1CN(C)CC1,5.1500001,1
NCGC00346896-03,CC1(N2CCC(n3c([C@H]4CNCCC4)nc4c3cccc4)CC2)CCCCCCC1,5.9000001,1
NCGC00163169-05,CN1CC/C(=C\2/c3c(scc3)CCc3c/2cccc3)/CC1,4.9250002,1
NCGC00015252-12&NCGC00015252-17,CN1CCC(=C2c3c(cccc3)C=Cc3c2cccc3)CC1,5.1500001,1
